Name,Date,Condition,Spine Length,Diameter,Elongation Index,Chiron Pulse,Time Point
Condition_5_D_5,24-09-2020,Condition 5,860.021,436,1.9725252293577982,48h,144hAA
Condition_3_B_6,23-09-2020,Condition 3,395.011,253,1.561308300395257,48h,120hAA
Condition_4_F_4,24-09-2020,Condition 4,,272,,48h,144hAA
Condition_6_B_6,24-09-2020,Condition 6,788.069,517,1.524311411992263,48h,144hAA
Condition_1_F_4,23-09-2020,Condition 1,81.086,44,1.8428636363636364,48h,120hAA
Condition_3_G_12,24-09-2020,Condition 3,845.842,322,2.6268385093167703,72h,144hAA
Condition_5_E_9,30-09-2020,Condition 5,650.806,360,1.8077944444444445,48h,120hAA
Condition_4_G_8,30-09-2020,Condition 4,605.777,382,1.5858036649214662,48h,120hAA
Condition_6_F_12,23-09-2020,Condition 6,388.064,313,1.239821086261981,72h,120hAA
Condition_5_A_6,01-10-2020,Condition 5,842.380,600,1.4039666666666666,72h,144hAA
Condition_5_H_12,30-09-2020,Condition 5,,48,,48h,120hAA
Condition_1_H_9,23-09-2020,Condition 1,88.232,44,2.005272727272727,72h,120hAA
Condition_6_C_12,30-09-2020,Condition 6,204.409,111,1.8415225225225225,48h,120hAA
Condition_4_H_9,24-09-2020,Condition 4,275.241,175,1.5728057142857141,72h,144hAA
Condition_6_A_3,23-09-2020,Condition 6,846.195,402,2.1049626865671645,48h,120hAA
Condition_3_A_3,24-09-2020,Condition 3,609.043,461,1.3211344902386117,48h,144hAA
Condition_4_E_1,23-09-2020,Condition 4,253.708,170,1.4924,48h,120hAA
Condition_4_G_12,24-09-2020,Condition 4,,37,,72h,144hAA
Condition_5_H_6,24-09-2020,Condition 5,1135.705,863,1.3159965237543452,48h,144hAA
Condition_1_F_12,23-09-2020,Condition 1,,26,,72h,120hAA
Condition_1_F_3,30-09-2020,Condition 1,389.010,309,1.2589320388349514,48h,120hAA
Condition_2_H_12,30-09-2020,Condition 2,579.569,324,1.7887932098765431,48h,120hAA
Condition_3_A_5,01-10-2020,Condition 3,747.308,489,1.528237218813906,72h,144hAA
Condition_1_D_11,23-09-2020,Condition 1,,23,,72h,120hAA
Condition_6_D_6,23-09-2020,Condition 6,540.014,350,1.542897142857143,48h,120hAA
Condition_6_H_2,30-09-2020,Condition 6,689.242,499,1.3812464929859718,48h,120hAA
Condition_3_D_6,24-09-2020,Condition 3,603.908,297,2.0333602693602693,48h,144hAA
Condition_5_B_5,23-09-2020,Condition 5,500.158,314,1.592859872611465,48h,120hAA
Condition_1_A_8,30-09-2020,Condition 1,574.077,259,2.2165135135135134,48h,120hAA
Condition_4_H_12,23-09-2020,Condition 4,266.533,196,1.3598622448979594,72h,120hAA
Condition_4_E_11,24-09-2020,Condition 4,357.503,232,1.5409612068965517,72h,144hAA
Condition_2_E_5,30-09-2020,Condition 2,520.885,309,1.6857119741100324,48h,120hAA
Condition_1_C_6,30-09-2020,Condition 1,510.676,204,2.503313725490196,48h,120hAA
Condition_3_F_8,24-09-2020,Condition 3,610.454,362,1.6863370165745855,72h,144hAA
Condition_6_A_11,30-09-2020,Condition 6,700.747,463,1.5134924406047516,48h,120hAA
Condition_6_F_8,23-09-2020,Condition 6,418.707,296,1.4145506756756756,72h,120hAA
Condition_5_B_12,24-09-2020,Condition 5,1005.358,622,1.6163311897106107,72h,144hAA
Condition_6_D_11,23-09-2020,Condition 6,410.105,307,1.3358469055374593,72h,120hAA
Condition_6_H_5,23-09-2020,Condition 6,670.249,384,1.7454401041666667,48h,120hAA
Condition_6_D_1,30-09-2020,Condition 6,890.493,515,1.7291126213592234,48h,120hAA
Condition_3_H_12,23-09-2020,Condition 3,397.787,258,1.5418100775193797,72h,120hAA
Condition_3_E_11,24-09-2020,Condition 3,421.531,329,1.2812492401215805,72h,144hAA
Condition_3_H_5,24-09-2020,Condition 3,637.232,478,1.333121338912134,48h,144hAA
Condition_5_B_2,30-09-2020,Condition 5,578.034,371,1.5580431266846362,48h,120hAA
Condition_4_C_1,24-09-2020,Condition 4,,984,,48h,144hAA
Condition_1_A_11,30-09-2020,Condition 1,499.397,224,2.229450892857143,48h,120hAA
Condition_2_E_2,23-09-2020,Condition 2,291.760,217,1.344516129032258,48h,120hAA
Condition_3_G_3,23-09-2020,Condition 3,509.449,367,1.3881444141689374,48h,120hAA
Condition_1_C_1,23-09-2020,Condition 1,267.114,147,1.8171020408163263,48h,120hAA
Condition_6_G_3,24-09-2020,Condition 6,873.080,473,1.8458350951374207,48h,144hAA
Condition_5_D_3,01-10-2020,Condition 5,767.278,499,1.5376312625250501,72h,144hAA
Condition_1_D_10,30-09-2020,Condition 1,673.953,285,2.3647473684210527,48h,120hAA
Condition_5_E_9,01-10-2020,Condition 5,685.290,499,1.373326653306613,72h,144hAA
Condition_6_F_9,24-09-2020,Condition 6,459.333,358,1.2830530726256983,72h,144hAA
Condition_2_D_8,23-09-2020,Condition 2,246.458,140,1.7604142857142857,72h,120hAA
Condition_3_F_9,23-09-2020,Condition 3,412.848,305,1.3536000000000001,72h,120hAA
Condition_6_G_5,30-09-2020,Condition 6,723.273,464,1.5587780172413794,48h,120hAA
Condition_4_C_7,30-09-2020,Condition 4,887.277,434,2.0444170506912442,48h,120hAA
Condition_5_A_6,30-09-2020,Condition 5,766.291,371,2.0654743935309976,48h,120hAA
Condition_4_A_9,30-09-2020,Condition 4,709.937,411,1.7273406326034064,48h,120hAA
Condition_5_C_8,30-09-2020,Condition 5,525.029,386,1.3601787564766838,48h,120hAA
Condition_2_F_6,23-09-2020,Condition 2,295.352,231,1.2785800865800865,48h,120hAA
Condition_5_B_4,24-09-2020,Condition 5,1203.063,822,1.463580291970803,48h,144hAA
Condition_3_D_7,23-09-2020,Condition 3,410.248,305,1.3450754098360655,72h,120hAA
Condition_6_D_7,24-09-2020,Condition 6,669.439,357,1.8751792717086835,72h,144hAA
Condition_5_G_7,01-10-2020,Condition 5,741.085,532,1.3930169172932332,72h,144hAA
Condition_6_A_10,23-09-2020,Condition 6,447.956,332,1.349265060240964,72h,120hAA
Condition_6_D_10,30-09-2020,Condition 6,701.705,382,1.8369240837696337,48h,120hAA
Condition_3_B_1,01-10-2020,Condition 3,993.258,561,1.7705133689839574,72h,144hAA
Condition_6_G_2,23-09-2020,Condition 6,660.833,380,1.7390342105263157,48h,120hAA
Condition_5_A_1,23-09-2020,Condition 5,468.135,,,48h,120hAA
Condition_3_G_2,24-09-2020,Condition 3,767.415,466,1.64681330472103,48h,144hAA
Condition_2_F_1,30-09-2020,Condition 2,484.548,343,1.4126763848396502,48h,120hAA
Condition_3_H_4,23-09-2020,Condition 3,651.152,374,1.741048128342246,48h,120hAA
Condition_6_H_4,24-09-2020,Condition 6,1051.852,437,2.4069839816933642,48h,144hAA
Condition_5_C_1,01-10-2020,Condition 5,867.233,571,1.5187968476357268,72h,144hAA
Condition_1_H_7,30-09-2020,Condition 1,670.956,316,2.123278481012658,48h,120hAA
